X,Y,field_1,cat,x,y,z,slope,distance,label
-794700.015125376,799871.150766224,15,94,-794700.015125376055948,799871.150766224018298,176.000000000000000,0.000000000000000,955619.376157801132649,-1
-709701.944817667,799871.150766224,16,95,-709701.944817667012103,799871.150766224018298,213.000000000000000,0.651606700000000,888159.081646977108903,-1
-682702.557778748,799871.150766224,17,96,-682702.557778747985139,799871.150766224018298,274.000000000000000,0.000000000000000,867375.865510215400718,-1
-764700.696193243,798871.343366389,18,103,-764700.696193243027665,798871.343366389046423,194.000000000000000,0.208596400000000,930881.162858145777136,-1
-653703.216144353,798871.343366389,19,104,-653703.216144353034906,798871.343366389046423,290.000000000000000,0.407419400000000,843781.211404179455712,-1
-744701.150238488,797871.535966554,20,108,-744701.150238487985916,797871.535966553958133,215.000000000000000,0.140714900000000,914361.073580311494879,-1
-638703.556678287,797871.535966554,21,109,-638703.556678286986426,797871.535966553958133,243.000000000000000,0.305407400000000,831041.384739672997966,-1
-625703.851807696,797871.535966554,22,110,-625703.851807696046308,797871.535966553958133,235.000000000000000,0.149551500000000,820580.405444900738075,-1
-730701.46807016,795871.921166885,24,128,-730701.468070160015486,795871.921166884945706,214.000000000000000,0.141097400000000,902079.386354040354490,-1
-500706.689590477,795871.921166885,25,129,-500706.689590476977173,795871.921166884945706,227.000000000000000,0.213700300000000,722851.458231195225380,-1
-800699.878911802,793872.306367216,26,138,-800699.878911801963113,793872.306367216049694,176.000000000000000,0.000000000000000,956999.852281936677173,-1
-677702.671290059,793872.306367216,27,139,-677702.671290058991872,793872.306367216049694,290.000000000000000,0.081661810000000,859685.254162673023529,-1
-461707.574978705,793872.306367216,28,140,-461707.574978704971727,793872.306367216049694,232.000000000000000,0.431863900000000,693188.539112218772061,-1
-694702.285351601,792872.498967381,29,146,-694702.285351600963622,792872.498967380961403,268.000000000000000,0.189228500000000,872114.640147858997807,-1
-492706.871208575,792872.498967381,30,147,-492706.871208574972115,792872.498967380961403,240.000000000000000,0.020259300000000,714933.473606732091866,-1
-823699.356759771,791872.691567547,32,157,-823699.356759771006182,791872.691567547037266,176.000000000000000,0.000000000000000,974706.280351195251569,-1
-692702.330756125,791872.691567547,33,158,-692702.330756125040352,791872.691567547037266,279.000000000000000,0.258246200000000,869934.504765689955093,-1
-615704.078830319,791872.691567547,34,159,-615704.078830318991095,791872.691567547037266,221.000000000000000,0.136268700000000,808978.331531907431781,-1
521270.108697504,791872.691567547,37,166,521270.108697503979784,791872.691567547037266,61.000000000000000,0.548277300000000,15359.111005517779631,-1
528269.949781669,791872.691567547,38,167,528269.949781668954529,791872.691567547037266,30.000000000000000,0.395536100000000,9803.356651007456094,-1
-752700.96862039,789873.076767877,39,175,-752700.968620390049182,789873.076767876977101,190.000000000000000,0.314197000000000,915882.428895986871794,-1
-559705.350157005,789873.076767877,40,176,-559705.350157005013898,789873.076767876977101,184.000000000000000,0.087145470000000,763590.599119141115807,-1
-822699.379462033,788873.269368043,43,187,-822699.379462033044547,788873.269368043052964,176.000000000000000,0.000000000000000,972184.774830842856318,-1
-652703.238846615,788873.269368043,44,188,-652703.238846614956856,788873.269368043052964,303.000000000000000,0.183458500000000,837181.388196037034504,-1
